Column1,users_course_id_2,user_id,Action,Created At,Столбец1,Столбец2,Столбец3,Столбец4,Столбец5,Столбец6
262171,449201,665767,visit_video,3/10/2026 8:16,,,,,,
241393,463351,667623,visit_video,3/15/2026 18:10,,,665767,,,
235264,454650,667888,visit_video,3/12/2026 4:53,,,665788,нет данных,449355,449474
234533,454600,667888,visit_video,3/12/2026 4:23,,,667623,,,
243713,455142,668076,visit_video,3/12/2026 10:54,,,667888,нет данных,454700,
244161,455149,668076,visit_video,3/12/2026 10:55,,,668076,,,
252867,456971,669160,visit_video,3/12/2026 14:50,,,669160,,,
252865,456969,669160,visit_video,3/12/2026 14:50,,,670642,,,
252863,456967,669160,visit_video,3/12/2026 14:50,,,671753,нет данных,466557,
220071,459740,670642,visit_video,3/13/2026 9:42,,,672661,,,
220092,459766,670642,visit_video,3/13/2026 9:46,,,674171,нет данных,473219,
262507,466553,671753,visit_video,3/17/2026 6:41,,,,,,
273661,466549,671753,visit_video,3/22/2026 12:29,,,,,,
264820,469100,672661,visit_video,3/18/2026 5:25,,,,,,
264833,469099,672661,visit_video,3/18/2026 5:29,,,,,,
264816,469098,672661,visit_video,3/18/2026 5:23,,,,,,
268528,473216,674171,visit_video,3/19/2026 11:36,,,,,,
268535,473222,674171,visit_video,3/19/2026 11:37,,,,,,
