Column1,award_badge_id,user_id,created_at
0,2,665767,10/23/2025 12:58
1,3,665767,11/16/2025 10:56
2,4,665767,1/24/2026 15:55
3,2,665788,10/21/2025 22:26
4,3,665788,11/18/2025 9:47
5,4,665788,1/12/2026 10:28
6,2,667623,10/21/2025 18:55
7,3,667623,12/7/2025 13:41
8,4,667623,2/25/2026 15:49
9,2,667888,11/7/2025 5:05
10,3,667888,11/7/2025 14:35
11,4,667888,12/9/2025 14:01
12,5,667888,12/9/2025 17:16
13,2,668076,11/4/2025 21:02
14,2,669160,11/9/2025 19:06
15,3,669160,12/1/2025 16:33
16,4,669160,1/16/2026 16:38
17,5,669160,3/5/2026 17:06
18,2,670642,11/18/2025 17:04
19,3,670642,12/16/2025 10:46
20,4,670642,2/24/2026 10:40
21,2,671753,11/25/2025 15:07
22,3,671753,11/30/2025 15:13
23,4,671753,12/10/2025 16:30
24,5,671753,12/20/2025 15:28
25,2,672661,12/4/2025 15:21
26,3,672661,12/14/2025 7:52
27,4,672661,12/19/2025 17:49
28,5,672661,1/5/2026 13:35
29,2,674171,1/14/2026 5:47
30,3,674171,1/16/2026 2:49
31,4,674171,2/13/2026 4:33
32,5,674171,2/13/2026 5:08
